"Type","Dielecrtric","Package","Value","4 V","6.3 V","10 V"," 16 V"," 25 V"," 50 V"," 100 V","200V","250V"
"MLCC","NP0","0201","0.22 pF",,,,,0.3,0.3,,,
"MLCC","NP0","0201","0.47 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","0.82 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","1.0 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","1.2 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","1.5 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","1.8 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","2.2 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","2.7 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","3.3 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","3.9 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","4.7 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","5.6 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","6.8 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","8.2 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","10 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","12 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","15 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","18 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","22 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","27 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","33 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","39 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","47 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","56 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","68 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","82 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0201","100 pF",,,,,0.3,0.3,0.3,,
"MLCC","NP0","0402","0.47 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","0.82 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","1.0 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","1.2 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","1.5 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","1.8 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","2.2 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","2.7 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","3.3 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","3.9 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","4.7 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","5.6 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","6.8 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","8.2 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","10 pF",,,,0.5,0.5,0.5,0.5,,
"MLCC","NP0","0402","12 pF",,,,0.5,0.5,0.5,0.5,,
